,PLAYER_NAME_LAST_FIRST,PLAYER_ID,GAMESTREAK,STARTDATE,ENDDATE,ACTIVESTREAK,NUMSEASONS,LASTSEASON,FIRSTSEASON,PTS,PTS_PG
0,"James, LeBron",2544,988,2007-01-06T00:00:00,2020-03-10T00:00:00,1,14,2019-20,2006-07,26928,27.3
1,"Jordan, Michael",893,866,1986-03-25T00:00:00,2001-12-26T00:00:00,0,13,2001-02,1985-86,27427,31.7
2,"Malone, Karl",252,575,1991-12-18T00:00:00,1999-03-26T00:00:00,0,8,1998-99,1991-92,15276,26.6
3,"Durant, Kevin",201142,562,2009-03-14T00:00:00,2017-02-27T00:00:00,0,9,2016-17,2008-09,15956,28.4
4,"Harden, James",201935,444,2014-11-19T00:00:00,2020-03-10T00:00:00,1,6,2019-20,2014-15,13793,31.1
5,"Garnett, Kevin",708,411,2002-10-30T00:00:00,2007-11-27T00:00:00,0,6,2007-08,2002-03,9317,22.7
6,"Olajuwon, Hakeem",165,359,1992-03-13T00:00:00,1997-01-30T00:00:00,0,6,1996-97,1991-92,9552,26.6
7,"Olajuwon, Hakeem",165,343,1987-11-28T00:00:00,1992-03-10T00:00:00,0,5,1991-92,1987-88,8011,23.4
8,"Garnett, Kevin",708,338,1997-10-31T00:00:00,2002-02-03T00:00:00,0,5,2001-02,1997-98,7153,21.2
9,"Iverson, Allen",947,330,2003-04-06T00:00:00,2008-03-10T00:00:00,0,6,2007-08,2002-03,9559,29.0
10,"Abdul-Jabbar, Kareem",76003,329,1983-10-28T00:00:00,1987-12-02T00:00:00,0,5,1987-88,1983-84,6869,20.9
11,"Mullin, Chris",904,301,1989-03-27T00:00:00,1993-02-04T00:00:00,0,5,1992-93,1988-89,7754,25.8
12,"McHale, Kevin",1450,296,1986-02-26T00:00:00,1990-02-18T00:00:00,0,5,1989-90,1985-86,6733,22.7
13,"Pierce, Paul",1718,294,2000-03-31T00:00:00,2004-01-13T00:00:00,0,5,2003-04,1999-00,7403,25.2
14,"Lillard, Damian",203081,277,2016-11-11T00:00:00,2020-03-10T00:00:00,1,4,2019-20,2016-17,7460,26.9
15,"Ellis, Dale",107,255,1986-11-28T00:00:00,1990-01-06T00:00:00,0,4,1989-90,1986-87,6663,26.1
16,"O'Neal, Shaquille",406,245,1995-02-28T00:00:00,1999-11-09T00:00:00,0,6,1999-00,1994-95,6654,27.2
17,"Robinson, David",764,242,1991-02-24T00:00:00,1994-03-12T00:00:00,0,4,1993-94,1990-91,6046,25.0
18,"Drexler, Clyde",17,237,1987-02-16T00:00:00,1990-03-03T00:00:00,0,4,1989-90,1986-87,6196,26.1
19,"Antetokounmpo, Giannis",203507,231,2017-02-15T00:00:00,2020-03-06T00:00:00,1,4,2019-20,2016-17,6302,27.3
20,"Anthony, Carmelo",2546,227,2013-03-11T00:00:00,2016-12-06T00:00:00,0,5,2016-17,2012-13,5646,24.9
21,"Anthony, Carmelo",2546,222,2005-12-02T00:00:00,2008-11-29T00:00:00,0,4,2008-09,2005-06,5993,27.0
22,"Bryant, Kobe",977,215,2010-02-05T00:00:00,2013-02-10T00:00:00,0,4,2012-13,2009-10,5696,26.5
23,"Ewing, Patrick",121,214,1989-01-16T00:00:00,1991-11-12T00:00:00,0,4,1991-92,1988-89,5728,26.8
24,"Bryant, Kobe",977,211,2001-04-10T00:00:00,2004-03-03T00:00:00,0,4,2003-04,2000-01,5613,26.6
25,"Bird, Larry",1449,210,1984-01-17T00:00:00,1986-11-11T00:00:00,0,4,1986-87,1983-84,5638,26.8
