,id,full_name,first_name,last_name,is_active
0,76001,Alaa Abdelnaby,Alaa,Abdelnaby,False
1,76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,False
2,76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False
3,51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,False
4,1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,False
5,949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,False
6,76005,Tom Abernethy,Tom,Abernethy,False
7,76006,Forest Able,Forest,Able,False
8,76007,John Abramovic,John,Abramovic,False
9,203518,Alex Abrines,Alex,Abrines,False
10,101165,Alex Acker,Alex,Acker,False
11,76008,Donald Ackerman,Donald,Ackerman,False
12,76009,Mark Acres,Mark,Acres,False
13,76010,Charles Acton,Charles,Acton,False
14,203112,Quincy Acy,Quincy,Acy,False
15,76011,Alvan Adams,Alvan,Adams,False
16,76012,Don Adams,Don,Adams,False
17,200801,Hassan Adams,Hassan,Adams,False
18,1629121,Jaylen Adams,Jaylen,Adams,False
19,203919,Jordan Adams,Jordan,Adams,False
20,149,Michael Adams,Michael,Adams,False
21,203500,Steven Adams,Steven,Adams,True
22,912,Rafael Addison,Rafael,Addison,False
23,1628389,Bam Adebayo,Bam,Adebayo,True
24,1629061,Deng Adel,Deng,Adel,False
25,76015,Rick Adelman,Rick,Adelman,False
26,202399,Jeff Adrien,Jeff,Adrien,False
27,201167,Arron Afflalo,Arron,Afflalo,False
28,200772,Maurice Ager,Maurice,Ager,False
29,76016,Mark Aguirre,Mark,Aguirre,False
30,201336,Blake Ahearn,Blake,Ahearn,False
31,76017,Danny Ainge,Danny,Ainge,False
32,201582,Alexis Ajinca,Alexis,Ajinca,False
33,76018,Henry Akin,Henry,Akin,False
34,203006,Josh Akognon,Josh,Akognon,False
35,1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,False
36,202374,Solomon Alabi,Solomon,Alabi,False
37,76019,Mark Alarie,Mark,Alarie,False
38,76020,Gary Alcorn,Gary,Alcorn,False
39,203128,Furkan Aldemir,Furkan,Aldemir,False
40,202332,Cole Aldrich,Cole,Aldrich,False
41,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True
42,76021,Chuck Aleksinas,Chuck,Aleksinas,False
43,1626146,Cliff Alexander,Cliff,Alexander,False
